Gender,Rate,Age Next Birthday,Loan Term,Premium Rate
F,0.04,64,1,31.33
F,0.04,65,1,34.75
F,0.03,20,1,4.13
F,0.03,21,1,4.13
F,0.03,22,1,4.13
F,0.03,23,1,4.13
F,0.03,24,1,4.13
F,0.03,25,1,4.13
F,0.03,26,1,4.13
F,0.03,27,1,4.15
F,0.03,28,1,4.16
F,0.03,29,1,4.17
F,0.03,30,1,4.18
F,0.03,31,1,4.20
F,0.03,32,1,4.22
F,0.03,33,1,4.24
F,0.03,34,1,4.26
F,0.03,35,1,4.28
F,0.03,36,1,4.30
F,0.03,37,1,4.35
F,0.03,38,1,4.39
F,0.03,39,1,4.50
F,0.03,40,1,4.98
F,0.03,41,1,5.55
F,0.03,42,1,5.93
F,0.03,43,1,6.30
F,0.03,44,1,6.67
F,0.03,45,1,7.04
F,0.03,46,1,7.41
F,0.03,47,1,7.55
F,0.03,48,1,7.80
F,0.03,49,1,9.34
F,0.03,50,1,10.00
F,0.03,51,1,10.80
F,0.03,52,1,11.93
F,0.03,53,1,13.25
F,0.03,54,1,14.79
F,0.03,55,1,16.54
F,0.03,56,1,18.54
F,0.03,57,1,18.92
F,0.03,58,1,19.29
F,0.03,59,1,19.66
F,0.03,60,1,20.03
F,0.03,61,1,20.83
F,0.03,62,1,25.81
F,0.03,63,1,31.24
F,0.03,64,1,31.24
F,0.03,65,1,34.66
M,0.04,20,2,8.51
M,0.04,21,2,8.51
M,0.04,22,2,8.51
M,0.04,23,2,8.51
M,0.04,24,2,8.51
M,0.04,25,2,8.51
M,0.04,26,2,8.90
M,0.04,27,2,8.90
M,0.04,28,2,8.90
M,0.04,29,2,8.90
M,0.04,30,2,8.90
M,0.04,31,2,8.90
M,0.04,32,2,8.90
M,0.04,33,2,8.90
M,0.04,34,2,8.90
M,0.04,35,2,8.90
M,0.04,36,2,9.19
M,0.04,37,2,10.11
M,0.04,38,2,10.58
M,0.04,39,2,11.79
M,0.04,40,2,13.18
M,0.04,41,2,13.20
M,0.04,42,2,13.34
M,0.04,43,2,14.35
M,0.04,44,2,15.54
M,0.04,45,2,16.97
M,0.04,46,2,20.85
M,0.04,47,2,22.97
M,0.04,48,2,25.34
M,0.04,49,2,28.06
M,0.04,50,2,31.12
M,0.04,51,2,34.58
M,0.04,52,2,37.79
M,0.04,53,2,41.48
M,0.04,54,2,45.64
M,0.04,55,2,50.37
M,0.04,56,2,62.18
M,0.04,57,2,71.09
M,0.04,58,2,80.75
M,0.04,59,2,91.22
M,0.04,60,2,102.52
M,0.04,61,2,103.30
M,0.04,62,2,109.83
M,0.04,63,2,121.67
M,0.04,64,2,134.52
M,0.04,65,2,105.12
M,0.03,20,2,8.48
M,0.03,21,2,8.48
M,0.03,22,2,8.48
M,0.03,23,2,8.48
M,0.03,24,2,8.48
M,0.03,25,2,8.48
M,0.03,26,2,8.87
M,0.03,27,2,8.87
M,0.03,28,2,8.87
M,0.03,29,2,8.87
M,0.03,30,2,8.87
M,0.03,31,2,8.87
M,0.03,32,2,8.87
M,0.03,33,2,8.87
M,0.03,34,2,8.87
M,0.03,35,2,8.87
M,0.03,36,2,9.17
M,0.03,37,2,10.09
M,0.03,38,2,10.54
M,0.03,39,2,11.74
M,0.03,40,2,13.14
M,0.03,41,2,13.16
M,0.03,42,2,13.30
M,0.03,43,2,14.29
M,0.03,44,2,15.48
M,0.03,45,2,16.90
M,0.03,46,2,20.84
M,0.03,47,2,22.88
M,0.03,48,2,25.24
M,0.03,49,2,27.94
M,0.03,50,2,31.01
M,0.03,51,2,34.45
M,0.03,52,2,37.65
M,0.03,53,2,41.31
M,0.03,54,2,45.47
M,0.03,55,2,50.17
M,0.03,56,2,61.94
M,0.03,57,2,70.83
M,0.03,58,2,80.45
M,0.03,59,2,90.88
M,0.03,60,2,102.17
M,0.03,61,2,102.95
M,0.03,62,2,109.45
M,0.03,63,2,121.26
M,0.03,64,2,134.08
M,0.03,65,2,104.90
F,0.04,20,2,8.23
F,0.04,21,2,8.31
F,0.04,22,2,8.31
F,0.04,23,2,8.31
F,0.04,24,2,8.31
F,0.04,25,2,8.31
F,0.04,26,2,8.31
F,0.04,27,2,8.33
F,0.04,28,2,8.34
F,0.04,29,2,8.35
F,0.04,30,2,8.36
F,0.04,31,2,8.38
F,0.04,32,2,8.40
F,0.04,33,2,8.42
F,0.04,34,2,8.44
F,0.04,35,2,8.46
F,0.04,36,2,8.48
F,0.04,37,2,8.53
F,0.04,38,2,8.57
F,0.04,39,2,9.02
F,0.04,40,2,9.96
F,0.04,41,2,11.05
F,0.04,42,2,11.94
F,0.04,43,2,12.80
F,0.04,44,2,13.68
F,0.04,45,2,14.55
F,0.04,46,2,15.44
F,0.04,47,2,16.51
F,0.04,48,2,17.81
F,0.04,49,2,21.56
F,0.04,50,2,23.69
F,0.04,51,2,26.06
F,0.04,52,2,28.94
F,0.04,53,2,32.16
F,0.04,54,2,35.80
F,0.04,55,2,39.86
F,0.04,56,2,44.39
F,0.04,57,2,45.27
F,0.04,58,2,46.17
F,0.04,59,2,47.09
F,0.04,60,2,47.98
F,0.04,61,2,67.24
F,0.04,62,2,76.93
F,0.04,63,2,87.45
F,0.04,64,2,87.45
F,0.04,65,2,60.91
F,0.03,20,2,8.23
F,0.03,21,2,8.28
F,0.03,22,2,8.28
F,0.03,23,2,8.28
F,0.03,24,2,8.28
F,0.03,25,2,8.28
F,0.03,26,2,8.28
F,0.03,27,2,8.30
F,0.03,28,2,8.31
F,0.03,29,2,8.32
F,0.03,30,2,8.33
F,0.03,31,2,8.35
F,0.03,32,2,8.37
F,0.03,33,2,8.39
F,0.03,34,2,8.41
F,0.03,35,2,8.43
F,0.03,36,2,8.45
F,0.03,37,2,8.50
F,0.03,38,2,8.54
F,0.03,39,2,9.00
F,0.03,40,2,9.94
F,0.03,41,2,11.01
F,0.03,42,2,11.89
F,0.03,43,2,12.76
F,0.03,44,2,13.64
F,0.03,45,2,14.51
F,0.03,46,2,15.38
F,0.03,47,2,16.45
F,0.03,48,2,17.74
F,0.03,49,2,21.55
F,0.03,50,2,23.60
F,0.03,51,2,25.96
F,0.03,52,2,28.82
F,0.03,53,2,32.05
F,0.03,54,2,35.67
F,0.03,55,2,39.72
F,0.03,56,2,44.22
F,0.03,57,2,45.10
F,0.03,58,2,45.97
F,0.03,59,2,46.85
F,0.03,60,2,47.72
F,0.03,61,2,66.94
F,0.03,62,2,76.59
F,0.03,63,2,87.10
F,0.03,64,2,87.10
F,0.03,65,2,60.74
M,0.04,20,3,6.22
M,0.04,21,3,6.22
M,0.04,22,3,6.22
M,0.04,23,3,6.22
M,0.04,24,3,6.22
M,0.04,25,3,6.22
M,0.04,26,3,6.61
M,0.04,27,3,6.61
M,0.04,28,3,6.61
M,0.04,29,3,6.61
M,0.04,30,3,6.61
M,0.04,31,3,6.61
M,0.04,32,3,6.61
M,0.04,33,3,6.61
M,0.04,34,3,6.61
M,0.04,35,3,6.61
M,0.04,36,3,7.09
M,0.04,37,3,7.81
M,0.04,38,3,8.05
M,0.04,39,3,8.99
M,0.04,40,3,10.09
M,0.04,41,3,10.11
M,0.04,42,3,10.40
M,0.04,43,3,10.70
M,0.04,44,3,11.47
M,0.04,45,3,12.42
M,0.04,46,3,15.18
M,0.04,47,3,16.75
M,0.04,48,3,18.39
M,0.04,49,3,20.30
M,0.04,50,3,22.49
M,0.04,51,3,24.98
M,0.04,52,3,27.11
M,0.04,53,3,29.61
M,0.04,54,3,32.49
M,0.04,55,3,35.79
M,0.04,56,3,44.59
M,0.04,57,3,51.65
M,0.04,58,3,59.29
M,0.04,59,3,67.54
M,0.04,60,3,76.46
M,0.04,61,3,77.24
M,0.04,62,3,82.25
M,0.04,63,3,91.40
M,0.04,64,3,180.26
M,0.04,65,3,116.61
M,0.03,20,3,6.18
M,0.03,21,3,6.18
M,0.03,22,3,6.18
M,0.03,23,3,6.18
M,0.03,24,3,6.18
M,0.03,25,3,6.18
M,0.03,26,3,6.57
M,0.03,27,3,6.57
M,0.03,28,3,6.57
M,0.03,29,3,6.57
M,0.03,30,3,6.57
M,0.03,31,3,6.57
M,0.03,32,3,6.57
M,0.03,33,3,6.57
M,0.03,34,3,6.57
M,0.03,35,3,6.57
M,0.03,36,3,7.04
M,0.03,37,3,7.77
M,0.03,38,3,8.00
M,0.03,39,3,8.95
M,0.03,40,3,10.04
M,0.03,41,3,10.06
M,0.03,42,3,10.35
M,0.03,43,3,10.64
M,0.03,44,3,11.40
M,0.03,45,3,12.35
M,0.03,46,3,15.17
M,0.03,47,3,16.64
M,0.03,48,3,18.28
M,0.03,49,3,20.17
M,0.03,50,3,22.34
M,0.03,51,3,24.82
M,0.03,52,3,26.94
M,0.03,53,3,29.42
M,0.03,54,3,32.27
M,0.03,55,3,35.56
M,0.03,56,3,44.30
M,0.03,57,3,51.34
M,0.03,58,3,58.94
M,0.03,59,3,67.16
M,0.03,60,3,76.04
M,0.03,61,3,76.82
M,0.03,62,3,81.81
M,0.03,63,3,90.92
M,0.03,64,3,179.55
M,0.03,65,3,116.36
F,0.04,20,3,5.93
F,0.04,21,3,5.93
F,0.04,22,3,6.02
F,0.04,23,3,6.02
F,0.04,24,3,6.02
F,0.04,25,3,6.02
F,0.04,26,3,6.02
F,0.04,27,3,6.04
F,0.04,28,3,6.05
F,0.04,29,3,6.06
F,0.04,30,3,6.07
F,0.04,31,3,6.09
F,0.04,32,3,6.11
F,0.04,33,3,6.13
F,0.04,34,3,6.15
F,0.04,35,3,6.17
F,0.04,36,3,6.19
F,0.04,37,3,6.24
F,0.04,38,3,6.28
F,0.04,39,3,6.92
F,0.04,40,3,7.66
F,0.04,41,3,8.52
F,0.04,42,3,9.17
F,0.04,43,3,9.83
F,0.04,44,3,10.48
F,0.04,45,3,11.13
F,0.04,46,3,11.79
F,0.04,47,3,12.44
F,0.04,48,3,13.26
F,0.04,49,3,15.89
F,0.04,50,3,17.47
F,0.04,51,3,19.11
F,0.04,52,3,21.18
F,0.04,53,3,23.53
F,0.04,54,3,26.20
F,0.04,55,3,29.18
F,0.04,56,3,32.52
F,0.04,57,3,33.21
F,0.04,58,3,33.87
F,0.04,59,3,34.58
F,0.04,60,3,35.25
F,0.04,61,3,45.78
F,0.04,62,3,53.25
F,0.04,63,3,61.39
F,0.04,64,3,117.81
F,0.04,65,3,69.63
F,0.03,20,3,5.93
F,0.03,21,3,5.93
F,0.03,22,3,5.98
F,0.03,23,3,5.98
F,0.03,24,3,5.98
F,0.03,25,3,5.98
F,0.03,26,3,5.98
F,0.03,27,3,6.00
F,0.03,28,3,6.01
F,0.03,29,3,6.02
F,0.03,30,3,6.03
F,0.03,31,3,6.05
F,0.03,32,3,6.07
F,0.03,33,3,6.09
F,0.03,34,3,6.11
F,0.03,35,3,6.13
F,0.03,36,3,6.15
F,0.03,37,3,6.20
F,0.03,38,3,6.24
F,0.03,39,3,6.87
F,0.03,40,3,7.62
F,0.03,41,3,8.47
F,0.03,42,3,9.13
F,0.03,43,3,9.78
F,0.03,44,3,10.43
F,0.03,45,3,11.08
F,0.03,46,3,11.73
F,0.03,47,3,12.37
F,0.03,48,3,13.19
F,0.03,49,3,15.88
F,0.03,50,3,17.36
F,0.03,51,3,19.00
F,0.03,52,3,21.05
F,0.03,53,3,23.38
F,0.03,54,3,26.04
F,0.03,55,3,29.01
F,0.03,56,3,32.33
F,0.03,57,3,32.99
F,0.03,58,3,33.64
F,0.03,59,3,34.29
F,0.03,60,3,34.94
F,0.03,61,3,45.43
F,0.03,62,3,52.87
F,0.03,63,3,60.97
F,0.03,64,3,117.26
F,0.03,65,3,69.44
M,0.04,20,4,5.45
M,0.04,21,4,5.45
M,0.04,22,4,5.45
M,0.04,23,4,5.45
M,0.04,24,4,5.45
M,0.04,25,4,5.45
M,0.04,26,4,5.84
M,0.04,27,4,5.84
M,0.04,28,4,5.84
M,0.04,29,4,5.84
M,0.04,30,4,5.84
M,0.04,31,4,5.84
M,0.04,32,4,5.84
M,0.04,33,4,5.84
M,0.04,34,4,5.84
M,0.04,35,4,5.91
M,0.04,36,4,6.54
M,0.04,37,4,7.21
M,0.04,38,4,7.40
M,0.04,39,4,8.29
M,0.04,40,4,9.32
M,0.04,41,4,9.34
M,0.04,42,4,9.57
M,0.04,43,4,9.79
M,0.04,44,4,10.46
M,0.04,45,4,11.29
M,0.04,46,4,13.93
M,0.04,47,4,15.18
M,0.04,48,4,16.64
M,0.04,49,4,18.34
M,0.04,50,4,20.31
M,0.04,51,4,22.54
M,0.04,52,4,24.40
M,0.04,53,4,26.59
M,0.04,54,4,29.12
M,0.04,55,4,32.06
M,0.04,56,4,40.07
M,0.04,57,4,46.65
M,0.04,58,4,53.75
M,0.04,59,4,61.43
M,0.04,60,4,69.71
M,0.04,61,4,70.49
M,0.04,62,4,75.09
M,0.04,63,4,116.84
M,0.04,64,4,203.12
M,0.04,65,4,122.35
M,0.03,20,4,5.42
M,0.03,21,4,5.42
M,0.03,22,4,5.42
M,0.03,23,4,5.42
M,0.03,24,4,5.42
M,0.03,25,4,5.42
M,0.03,26,4,5.81
M,0.03,27,4,5.81
M,0.03,28,4,5.81
M,0.03,29,4,5.81
M,0.03,30,4,5.81
M,0.03,31,4,5.81
M,0.03,32,4,5.81
M,0.03,33,4,5.81
M,0.03,34,4,5.81
M,0.03,35,4,5.88
M,0.03,36,4,6.49
M,0.03,37,4,7.17
M,0.03,38,4,7.36
M,0.03,39,4,8.23
M,0.03,40,4,9.26
M,0.03,41,4,9.28
M,0.03,42,4,9.50
M,0.03,43,4,9.72
M,0.03,44,4,10.37
M,0.03,45,4,11.20
M,0.03,46,4,13.82
M,0.03,47,4,15.05
M,0.03,48,4,16.50
M,0.03,49,4,18.19
M,0.03,50,4,20.13
M,0.03,51,4,22.35
M,0.03,52,4,24.19
M,0.03,53,4,26.35
M,0.03,54,4,28.86
M,0.03,55,4,31.77
M,0.03,56,4,39.71
M,0.03,57,4,46.25
M,0.03,58,4,53.33
M,0.03,59,4,60.97
M,0.03,60,4,69.20
M,0.03,61,4,69.98
M,0.03,62,4,74.55
M,0.03,63,4,116.14
M,0.03,64,4,202.26
M,0.03,65,4,122.09
F,0.04,20,4,5.21
F,0.04,21,4,5.25
F,0.04,22,4,5.25
F,0.04,23,4,5.25
F,0.04,24,4,5.25
F,0.04,25,4,5.25
F,0.04,26,4,5.25
F,0.04,27,4,5.27
F,0.04,28,4,5.28
F,0.04,29,4,5.29
F,0.04,30,4,5.30
F,0.04,31,4,5.32
F,0.04,32,4,5.34
F,0.04,33,4,5.36
F,0.04,34,4,5.38
F,0.04,35,4,5.40
F,0.04,36,4,5.42
F,0.04,37,4,5.47
F,0.04,38,4,5.75
F,0.04,39,4,6.37
F,0.04,40,4,7.06
F,0.04,41,4,7.87
F,0.04,42,4,8.49
F,0.04,43,4,9.09
F,0.04,44,4,9.68
F,0.04,45,4,10.29
F,0.04,46,4,10.88
F,0.04,47,4,11.43
F,0.04,48,4,12.13
F,0.04,49,4,14.64
F,0.04,50,4,15.90
F,0.04,51,4,17.36
F,0.04,52,4,19.22
F,0.04,53,4,21.35
F,0.04,54,4,23.76
F,0.04,55,4,26.47
F,0.04,56,4,29.50
F,0.04,57,4,30.12
F,0.04,58,4,30.75
F,0.04,59,4,31.41
F,0.04,60,4,32.05
F,0.04,61,4,40.24
F,0.04,62,4,47.14
F,0.04,63,4,83.48
F,0.04,64,4,135.17
F,0.04,65,4,73.99
F,0.03,20,4,5.21
F,0.03,21,4,5.22
F,0.03,22,4,5.22
F,0.03,23,4,5.22
F,0.03,24,4,5.22
F,0.03,25,4,5.22
F,0.03,26,4,5.22
F,0.03,27,4,5.24
F,0.03,28,4,5.25
F,0.03,29,4,5.26
F,0.03,30,4,5.27
F,0.03,31,4,5.29
F,0.03,32,4,5.31
F,0.03,33,4,5.33
F,0.03,34,4,5.35
F,0.03,35,4,5.37
F,0.03,36,4,5.39
F,0.03,37,4,5.44
F,0.03,38,4,5.72
F,0.03,39,4,6.32
F,0.03,40,4,7.02
F,0.03,41,4,7.83
F,0.03,42,4,8.43
F,0.03,43,4,9.03
F,0.03,44,4,9.62
F,0.03,45,4,10.22
F,0.03,46,4,10.81
F,0.03,47,4,11.34
F,0.03,48,4,12.04
F,0.03,49,4,14.53
F,0.03,50,4,15.77
F,0.03,51,4,17.22
F,0.03,52,4,19.07
F,0.03,53,4,21.17
F,0.03,54,4,23.57
F,0.03,55,4,26.26
F,0.03,56,4,29.26
F,0.03,57,4,29.86
F,0.03,58,4,30.46
F,0.03,59,4,31.05
F,0.03,60,4,31.65
F,0.03,61,4,39.82
F,0.03,62,4,46.68
F,0.03,63,4,82.87
F,0.03,64,4,134.52
F,0.03,65,4,73.78
M,0.04,20,5,5.07
M,0.04,21,5,5.07
M,0.04,22,5,5.07
M,0.04,23,5,5.07
M,0.04,24,5,5.07
M,0.04,25,5,5.07
M,0.04,26,5,5.46
M,0.04,27,5,5.46
M,0.04,28,5,5.46
M,0.04,29,5,5.46
M,0.04,30,5,5.46
M,0.04,31,5,5.46
M,0.04,32,5,5.46
M,0.04,33,5,5.46
M,0.04,34,5,5.46
M,0.04,35,5,5.56
M,0.04,36,5,5.79
M,0.04,37,5,6.45
M,0.04,38,5,7.25
M,0.04,39,5,8.13
M,0.04,40,5,9.14
M,0.04,41,5,9.16
M,0.04,42,5,9.38
M,0.04,43,5,9.59
M,0.04,44,5,10.23
M,0.04,45,5,11.04
M,0.04,46,5,13.63
M,0.04,47,5,14.82
M,0.04,48,5,16.24
M,0.04,49,5,17.88
M,0.04,50,5,19.79
M,0.04,51,5,21.94
M,0.04,52,5,23.73
M,0.04,53,5,25.84
M,0.04,54,5,28.28
M,0.04,55,5,30.72
M,0.04,56,5,37.97
M,0.04,57,5,43.81
M,0.04,58,5,50.04
M,0.04,59,5,56.69
M,0.04,60,5,65.17
M,0.04,61,5,66.63
M,0.04,62,5,91.06
M,0.04,63,5,130.89
M,0.04,64,5,216.81
M,0.04,65,5,122.75
M,0.03,20,5,5.03
M,0.03,21,5,5.03
M,0.03,22,5,5.03
M,0.03,23,5,5.03
M,0.03,24,5,5.03
M,0.03,25,5,5.03
M,0.03,26,5,5.42
M,0.03,27,5,5.42
M,0.03,28,5,5.42
M,0.03,29,5,5.42
M,0.03,30,5,5.42
M,0.03,31,5,5.42
M,0.03,32,5,5.42
M,0.03,33,5,5.42
M,0.03,34,5,5.42
M,0.03,35,5,5.52
M,0.03,36,5,5.74
M,0.03,37,5,6.40
M,0.03,38,5,7.18
M,0.03,39,5,8.06
M,0.03,40,5,9.06
M,0.03,41,5,9.08
M,0.03,42,5,9.29
M,0.03,43,5,9.49
M,0.03,44,5,10.12
M,0.03,45,5,10.92
M,0.03,46,5,13.48
M,0.03,47,5,14.67
M,0.03,48,5,16.06
M,0.03,49,5,17.68
M,0.03,50,5,19.57
M,0.03,51,5,21.70
M,0.03,52,5,23.46
M,0.03,53,5,25.54
M,0.03,54,5,27.95
M,0.03,55,5,30.29
M,0.03,56,5,37.38
M,0.03,57,5,43.06
M,0.03,58,5,49.11
M,0.03,59,5,55.56
M,0.03,60,5,64.04
M,0.03,61,5,65.62
M,0.03,62,5,89.98
M,0.03,63,5,129.82
M,0.03,64,5,215.88
M,0.03,65,5,122.47
F,0.04,20,5,4.87
F,0.04,21,5,4.87
F,0.04,22,5,4.87
F,0.04,23,5,4.87
F,0.04,24,5,4.87
F,0.04,25,5,4.87
F,0.04,26,5,4.87
F,0.04,27,5,4.89
F,0.04,28,5,4.90
F,0.04,29,5,4.91
F,0.04,30,5,4.92
F,0.04,31,5,4.94
F,0.04,32,5,4.96
F,0.04,33,5,4.98
F,0.04,34,5,5.00
F,0.04,35,5,5.02
F,0.04,36,5,5.04
F,0.04,37,5,5.09
F,0.04,38,5,5.61
F,0.04,39,5,6.22
F,0.04,40,5,6.91
F,0.04,41,5,7.72
F,0.04,42,5,8.45
F,0.04,43,5,9.29
F,0.04,44,5,9.45
F,0.04,45,5,9.62
F,0.04,46,5,10.68
F,0.04,47,5,11.20
F,0.04,48,5,11.88
F,0.04,49,5,14.34
F,0.04,50,5,15.54
F,0.04,51,5,16.96
F,0.04,52,5,18.76
F,0.04,53,5,20.83
F,0.04,54,5,23.16
F,0.04,55,5,25.80
F,0.04,56,5,28.75
F,0.04,57,5,28.84
F,0.04,58,5,29.29
F,0.04,59,5,34.73
F,0.04,60,5,36.50
F,0.04,61,5,38.78
F,0.04,62,5,62.53
F,0.04,63,5,96.73
F,0.04,64,5,145.57
F,0.04,65,5,76.60
F,0.03,20,5,4.83
F,0.03,21,5,4.83
F,0.03,22,5,4.83
F,0.03,23,5,4.83
F,0.03,24,5,4.83
F,0.03,25,5,4.83
F,0.03,26,5,4.83
F,0.03,27,5,4.85
F,0.03,28,5,4.86
F,0.03,29,5,4.87
F,0.03,30,5,4.88
F,0.03,31,5,4.90
F,0.03,32,5,4.92
F,0.03,33,5,4.94
F,0.03,34,5,4.96
F,0.03,35,5,4.98
F,0.03,36,5,5.00
F,0.03,37,5,5.05
F,0.03,38,5,5.57
F,0.03,39,5,6.17
F,0.03,40,5,6.86
F,0.03,41,5,7.65
F,0.03,42,5,8.38
F,0.03,43,5,9.21
F,0.03,44,5,9.37
F,0.03,45,5,9.53
F,0.03,46,5,10.58
F,0.03,47,5,11.09
F,0.03,48,5,11.76
F,0.03,49,5,14.19
F,0.03,50,5,15.39
F,0.03,51,5,16.78
F,0.03,52,5,18.56
F,0.03,53,5,20.61
F,0.03,54,5,22.92
F,0.03,55,5,25.53
F,0.03,56,5,28.45
F,0.03,57,5,28.51
F,0.03,58,5,28.93
F,0.03,59,5,34.30
F,0.03,60,5,36.02
F,0.03,61,5,38.25
F,0.03,62,5,61.88
F,0.03,63,5,95.98
F,0.03,64,5,144.87
F,0.03,65,5,76.39
M,0.04,20,6,4.88
M,0.04,21,6,4.88
M,0.04,22,6,4.88
M,0.04,23,6,4.88
M,0.04,24,6,4.88
M,0.04,25,6,4.88
M,0.04,26,6,5.24
M,0.04,27,6,5.24
M,0.04,28,6,5.24
M,0.04,29,6,5.24
M,0.04,30,6,5.24
M,0.04,31,6,5.24
M,0.04,32,6,5.24
M,0.04,33,6,5.24
M,0.04,34,6,5.37
M,0.04,35,6,5.51
M,0.04,36,6,5.79
M,0.04,37,6,6.42
M,0.04,38,6,7.14
M,0.04,39,6,7.98
M,0.04,40,6,8.84
M,0.04,41,6,8.87
M,0.04,42,6,9.07
M,0.04,43,6,9.27
M,0.04,44,6,9.92
M,0.04,45,6,10.72
M,0.04,46,6,13.31
M,0.04,47,6,14.50
M,0.04,48,6,15.93
M,0.04,49,6,17.58
M,0.04,50,6,19.49
M,0.04,51,6,21.65
M,0.04,52,6,23.50
M,0.04,53,6,25.65
M,0.04,54,6,28.15
M,0.04,55,6,30.59
M,0.04,56,6,37.82
M,0.04,57,6,43.53
M,0.04,58,6,49.59
M,0.04,59,6,55.86
M,0.04,60,6,65.41
M,0.04,61,6,75.94
M,0.04,62,6,102.28
M,0.04,63,6,141.06
M,0.04,64,6,226.64
M,0.04,65,6,124.24
M,0.03,20,6,4.84
M,0.03,21,6,4.84
M,0.03,22,6,4.84
M,0.03,23,6,4.84
M,0.03,24,6,4.84
M,0.03,25,6,4.84
M,0.03,26,6,5.20
M,0.03,27,6,5.20
M,0.03,28,6,5.20
M,0.03,29,6,5.20
M,0.03,30,6,5.20
M,0.03,31,6,5.20
M,0.03,32,6,5.20
M,0.03,33,6,5.20
M,0.03,34,6,5.32
M,0.03,35,6,5.45
M,0.03,36,6,5.73
M,0.03,37,6,6.35
M,0.03,38,6,7.06
M,0.03,39,6,7.89
M,0.03,40,6,8.76
M,0.03,41,6,8.78
M,0.03,42,6,8.97
M,0.03,43,6,9.16
M,0.03,44,6,9.80
M,0.03,45,6,10.58
M,0.03,46,6,13.13
M,0.03,47,6,14.32
M,0.03,48,6,15.72
